
Date: 30/01/2023 17:39:55
Name: 
Description: 
Module Type: Hyperion
HW Acquisition Rate: 1000 Hz
Wavelength Tracking: 400 pm / acquistion
Data Interleave: 1

IP Address: 10.0.0.55
      Port: 51971

IDN: Hyperion
Image ID: 14.1.0
S/N: HIAGBY

CH 1 Configuration:
	Distance Compensation Enabled: False
	Spectral Average Count: 1
	Detect Valley: False
	Detection Setting ID: 128
CH 2 Configuration:
	Distance Compensation Enabled: False
	Spectral Average Count: 1
	Detect Valley: False
	Detection Setting ID: 128
CH 3 Configuration:
	Distance Compensation Enabled: False
	Spectral Average Count: 1
	Detect Valley: False
	Detection Setting ID: 135
CH 4 Configuration:
	Distance Compensation Enabled: False
	Spectral Average Count: 1
	Detect Valley: False
	Detection Setting ID: 128
CH 5 Configuration:
	Distance Compensation Enabled: False
	Spectral Average Count: 1
	Detect Valley: False
	Detection Setting ID: 128
CH 6 Configuration:
	Distance Compensation Enabled: False
	Spectral Average Count: 1
	Detect Valley: False
	Detection Setting ID: 128
CH 7 Configuration:
	Distance Compensation Enabled: False
	Spectral Average Count: 1
	Detect Valley: False
	Detection Setting ID: 128
CH 8 Configuration:
	Distance Compensation Enabled: False
	Spectral Average Count: 1
	Detect Valley: False
	Detection Setting ID: 128
Wvl (nm)	 CH 1 	 CH 2 

1460,0000	-58,2923	-58,6231
1460,0080	-58,4259	-58,5729
1460,0160	-58,2994	-58,3388
1460,0240	-58,5299	-57,5951
1460,0320	-58,9543	-57,2642
1460,0400	-59,4779	-57,4013
1460,0480	-58,7477	-56,8320
1460,0560	-59,2699	-56,8780
1460,0640	-59,7456	-57,8205
1460,0720	-59,3310	-57,9368
1460,0800	-58,8426	-58,2972
1460,0880	-59,0794	-58,4250
1460,0960	-58,9396	-59,2168
1460,1040	-59,5657	-58,5255
1460,1120	-59,1040	-58,3144
1460,1200	-59,3640	-57,0359
1460,1280	-59,5791	-57,8708
1460,1360	-59,3725	-58,2326
1460,1440	-59,1384	-57,3489
1460,1520	-59,0443	-57,3446
1460,1600	-59,3570	-57,6777
1460,1680	-59,4462	-57,0517
1460,1760	-58,7618	-56,9885
1460,1840	-59,1160	-57,0617
1460,1920	-58,8721	-57,9777
1460,2000	-58,4807	-58,0632
1460,2080	-58,6831	-56,6360
1460,2160	-58,8089	-57,7911
1460,2240	-58,6978	-57,7911
1460,2320	-58,9606	-58,3460
1460,2400	-59,4659	-56,5707
1460,2480	-59,4041	-56,7660
1460,2560	-59,1455	-58,3467
1460,2640	-59,0485	-57,4415
1460,2720	-59,4884	-57,4343
1460,2800	-59,2959	-58,1127
1460,2880	-59,1862	-57,4020
1460,2960	-59,4413	-56,5240
1460,3040	-59,5186	-56,8600
1460,3120	-58,9262	-57,1493
1460,3200	-59,0295	-57,7775
1460,3280	-59,2453	-57,2039
1460,3360	-58,7878	-57,8177
1460,3440	-58,6093	-57,1012
1460,3520	-58,6304	-57,9878
1460,3600	-58,9171	-57,0366
1460,3680	-59,3942	-58,1378
1460,3760	-59,5123	-58,7143
1460,3840	-59,4722	-58,0093
1460,3920	-59,5151	-58,3180
1460,4000	-59,8609	-57,7538
1460,4080	-59,8187	-57,0725
1460,4160	-59,3169	-56,8708
1460,4240	-58,9789	-56,6748
1460,4320	-59,3781	-57,4874
1460,4400	-59,5285	-57,7028
1460,4480	-59,0394	-57,6669
1460,4560	-58,7266	-57,1062
1460,4640	-59,1174	-56,7904
1460,4720	-59,6845	-58,3948
1460,4800	-59,8517	-58,2168
1460,4880	-58,9740	-57,8011
1460,4960	-59,0647	-58,1522
1460,5040	-58,7892	-57,8722
1460,5120	-57,7414	-56,9009
1460,5200	-58,9375	-57,1278
1460,5280	-58,4027	-57,1393
1460,5360	-58,0183	-57,6052
1460,5440	-58,4694	-57,9296
1460,5520	-58,9838	-57,2778
1460,5600	-58,6240	-57,4623
1460,5680	-58,5151	-57,1658
1460,5760	-59,6198	-56,7681
1460,5840	-58,9775	-57,4379
1460,5920	-58,7934	-58,6604
1460,6000	-59,3549	-58,0108
1460,6080	-59,0190	-59,1874
1460,6160	-58,1286	-58,1788
1460,6240	-58,2874	-57,5535
1460,6320	-58,3387	-58,0531
1460,6400	-58,8749	-58,6791
1460,6480	-58,9923	-58,4013
1460,6560	-58,7379	-57,8098
1460,6640	-58,5657	-58,1156
1460,6720	-59,3774	-58,1766
1460,6800	-59,0204	-57,9275
1460,6880	-58,9866	-57,9497
1460,6960	-59,2769	-57,3525
1460,7040	-59,3359	-58,0861
1460,7120	-59,2902	-57,2836
1460,7200	-59,0126	-57,0373
1460,7280	-59,1293	-56,6260
1460,7360	-59,1764	-57,6066
1460,7440	-59,2186	-58,1314
1460,7520	-59,5566	-58,5197
1460,7600	-58,9986	-58,1429
1460,7680	-58,7533	-57,4135
1460,7760	-58,5397	-58,6432
1460,7840	-58,8159	-58,0991
1460,7920	-59,2713	-57,6949
1460,8000	-58,7632	-58,6655
1460,8080	-59,1504	-57,3338
1460,8160	-58,8784	-57,6906
1460,8240	-58,5032	-58,0660
1460,8320	-59,1722	-57,6368
1460,8400	-59,4118	-56,9462
1460,8480	-59,2129	-57,2082
1460,8560	-59,6873	-56,5556
1460,8640	-59,7695	-57,5908
1460,8720	-59,7098	-58,2828
1460,8800	-59,5221	-58,2132
1460,8880	-59,6015	-57,7243
1460,8960	-59,6739	-58,8471
1460,9040	-59,6943	-57,9239
1460,9120	-59,6908	-57,8952
1460,9200	-59,3183	-57,7222
1460,9280	-59,2860	-58,1184
1460,9360	-59,4216	-57,7387
1460,9440	-59,0162	-57,1788
1460,9520	-58,9606	-58,2864
1460,9600	-59,0815	-58,5147
1460,9680	-58,7822	-57,2290
1460,9760	-59,1834	-57,1263
1460,9840	-58,9613	-57,2154
1460,9920	-58,5924	-57,2347
1461,0000	-58,7456	-58,4702
1461,0080	-59,5411	-56,8701
1461,0160	-58,6943	-58,1838
1461,0240	-59,5004	-57,6353
1461,0320	-58,5770	-57,0230
1461,0400	-58,4160	-57,3352
1461,0480	-58,8707	-57,8392
1461,0560	-58,9747	-57,9742
1461,0640	-58,8391	-57,9813
1461,0720	-59,1293	-58,6734
1461,0800	-59,5186	-58,3446
1461,0880	-59,3921	-57,7330
1461,0960	-59,1785	-57,8758
1461,1040	-59,3942	-58,7523
1461,1120	-58,4575	-59,1816
1461,1200	-58,4315	-58,9174
1461,1280	-58,8756	-58,5520
1461,1360	-59,0112	-58,1608
1461,1440	-58,2059	-57,3891
1461,1520	-58,5306	-57,8435
1461,1600	-58,9740	-57,9160
1461,1680	-59,4118	-57,7688
1461,1760	-59,1982	-57,5894
1461,1840	-58,9122	-57,5944
1461,1920	-59,5917	-57,6770
1461,2000	-59,4160	-57,6712
1461,2080	-58,8482	-58,1321
1461,2160	-59,4758	-57,1414
1461,2240	-58,8489	-58,2548
1461,2320	-59,5882	-57,1206
1461,2400	-59,3668	-57,8055
1461,2480	-58,6880	-56,7387
1461,2560	-58,7351	-56,5585
1461,2640	-59,6001	-57,1630
1461,2720	-59,4807	-58,2240
1461,2800	-59,0780	-57,6045
1461,2880	-58,9206	-58,2936
1461,2960	-59,3970	-57,9296
1461,3040	-58,6859	-57,5987
1461,3120	-59,1546	-57,0230
1461,3200	-59,4968	-57,3884
1461,3280	-58,9065	-57,5147
1461,3360	-58,5172	-57,1285
1461,3440	-58,8587	-56,7064
1461,3520	-58,7484	-58,3008
1461,3600	-58,3626	-58,1945
1461,3680	-58,2368	-57,4731
1461,3760	-58,9585	-57,6037
1461,3840	-58,3570	-57,7322
1461,3920	-59,3556	-57,9756
1461,4000	-58,4617	-59,0919
1461,4080	-58,6058	-58,0711
1461,4160	-59,5418	-57,6095
1461,4240	-59,2045	-57,9878
1461,4320	-59,1750	-58,8471
1461,4400	-59,2741	-59,0897
1461,4480	-59,8032	-58,9986
1461,4560	-59,0773	-58,9347
1461,4640	-59,0239	-58,1716
1461,4720	-58,8616	-58,1924
1461,4800	-58,4694	-58,5248
1461,4880	-58,8124	-57,4508
1461,4960	-58,6845	-57,1335
1461,5040	-59,0647	-57,4329
1461,5120	-59,3598	-58,2060
1461,5200	-59,8229	-57,8607
1461,5280	-58,9375	-58,1924
1461,5360	-59,2171	-57,4989
1461,5440	-58,9923	-58,6030
1461,5520	-59,1574	-57,6360
1461,5600	-59,0696	-57,5958
1461,5680	-59,4055	-57,2843
1461,5760	-59,8524	-58,3216
1461,5840	-59,1743	-58,9153
1461,5920	-59,2375	-58,8959
